project,SA,description,NAME,quantity,VARL,EMUNT,VARW,EMUNT,VARX,EMUNT,VARY,EMUNT,VAR1,EMUNT,VAR2,EMUNT,VAR3,EMUNT,VAR4,EMUNT
talebi,28,Å‘  ò‘Ê,"PK,",2,VARL,908,VARW,105,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,Å‘  ò‘Ê,"PK,",2,VARL,908,VARW,185,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,œ— ò‘Ê,"DAR-KE,",1,VARL,155,VARW,974,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,œ— ò‘Ê,"DAR-KE,",1,VARL,155,VARW,974,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,œ— ò‘Ê »·Ê„,"DAR-KB,",1,VARL,316,VARW,974,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,œ” êÌ—Â L,"0,",1,VARL,980,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,œ” êÌ—Â U,"0,",1,VARL,980,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,948,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,ò› “„Ì‰Ì,"KZ,P6",1,VARL,980,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,ò› ò‘Ê,"KAF-K,",1,VARL,908,VARW,536,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,ò› ò‘Ê,"KAF-K,",1,VARL,908,VARW,536,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,28,ò› ò‘Ê,"KAF-K,",1,VARL,908,VARW,536,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,29,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,948,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,29,»œ‰Â çÅ ò‘Ê-LU,"BZKL-LUF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,29,»œ‰Â —«”  ò‘Ê-LU,"BZKR-LUF,",1,VARL,702,VARW,568,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,29,»€· ò‘Ê,"BAQKESHO,",2,VARL,500,VARW,83,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,29,»€· ò‘Ê,"BAQKESHO,",2,VARL,500,VARW,118,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
